,utt,관광지 추천,날씨 묻기,맛집 추천,숙소 추천,인사,카페 추천,활동 추천
779,부산 디저트 많은 곳 알려주세요,0,0,0,0,0,1,0
1467,아 부산 분위기 있는 곳 부탁드려요,0,0,1,0,0,0,0
2070,부산 아 친절한 숙소 알려주세요,0,0,0,1,0,0,0
364,부산 활동 저기 알려주세요,0,0,0,0,0,0,1
331,음 안녕,0,0,0,0,1,0,0
518,부산 메뉴가 다양한 카페 알려줘,0,0,0,0,0,1,0
988,부산 주위가 조용한 숙소 추천 음 좀,0,0,0,1,0,0,0
1658,흠 부산 가까운 곳 알려주세요,0,0,1,0,0,0,0
3681,부산 흠 가까운 카페 알려줘,0,0,0,0,0,1,0
1216,부산 밖에 알려줄 음 수 있나요?,0,1,0,0,0,0,0
186,부산 관광지 알려줄 있잖아 수 있나요?,1,0,0,0,0,0,0
420,부산 흠 액티비티 추천해주세요,0,0,0,0,0,0,1
487,부산은 감성적인 곳 좋아?,0,0,1,0,0,0,0
2687,혹시 부산 감성적인 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
705,부산 친구랑 할만한 것,0,0,0,0,0,0,1
662,부산 주차공간이 넓은 숙소 부탁할게,0,0,0,1,0,0,0
650,부산 뷰가 좋은 숙소 부탁드려요,0,0,0,1,0,0,0
3511,부산 분위기 있는 카페 근데 부탁드려요,0,0,0,0,0,1,0
1734,부산 혹시 주차하기 편한 곳 부탁드려요,0,0,1,0,0,0,0
685,부산 맛있는 곳 알려주세요,0,0,1,0,0,0,0
797,부산 전망 좋은 카페 부탁드려요,0,0,0,0,0,1,0
1507,부산 있잖아 분위기 있는 곳 부탁해,0,0,1,0,0,0,0
880,부산 데이트하기 좋은 곳 근데 알려줘,0,0,1,0,0,0,0
3224,부산 재미있는 거 알려줄 수 있잖아 있나요?,0,0,0,0,0,0,1
435,부산 추위 알려줘,0,1,0,0,0,0,0
79,있잖아 부산 맛집 알려줘,0,0,1,0,0,0,0
1829,부산 감성적인 곳 음 추천해주세요,0,0,1,0,0,0,0
2399,부산 깨끗한 숙소 혹시 추천해주세요,0,0,0,1,0,0,0
108,부산 날씨 알려줄 수 흠 있나요?,0,1,0,0,0,0,0
913,어 부산 분위기 있는 곳 추천해줘,0,0,1,0,0,0,0
99,혹시 부산 날씨,0,1,0,0,0,0,0
1402,부산 혹시 웨이팅 없는 곳 알려주세요,0,0,1,0,0,0,0
1810,아 부산 친구랑 놀기 좋은 곳 추천해줘,1,0,0,0,0,0,0
1815,아 부산 데이트하기 좋은 곳 추천해줘,0,0,1,0,0,0,0
3081,근데 부산은 조용한 곳 좋아?,0,0,1,0,0,0,0
102,부산 음 날씨 알려주세요,0,1,0,0,0,0,0
3247,부산 유명한 거 흠 알려줘,0,0,0,0,0,0,1
1073,부산 감성적인 곳 있잖아 어디야?,0,0,1,0,0,0,0
3631,아 부산 가까운 카페 알려주세요,0,0,0,0,0,1,0
3442,아 부산 커피 전문점 알려줄 수 있나요?,0,0,0,0,0,1,0
632,부산 유명한 숙소 알려주세요,0,0,0,1,0,0,0
3385,부산 유명한 거 음 추천해 주실 수 있나요?,0,0,0,0,0,0,1
1435,부산 분위기 있는 곳 알려줄 근데 수 있나요?,0,0,1,0,0,0,0
2560,흠 부산 친절한 곳 부탁해,0,0,1,0,0,0,0
758,부산 일일 체험 추천해주세요,0,0,0,0,0,0,1
2051,저기 부산 주위가 조용한 숙소,0,0,0,1,0,0,0
3754,부산 혹시 커피 전문점 추천해주세요,0,0,0,0,0,1,0
3362,부산 체험할 것 저기 추천해주세요,0,0,0,0,0,0,1
3694,저기 부산 전망 좋은 카페 부탁드려요,0,0,0,0,0,1,0
3252,아 부산 신기한 체험 부탁드려요,0,0,0,0,0,0,1
2469,흠 부산 감성적인 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
368,부산 활동 알려줄 있잖아 수 있나요?,0,0,0,0,0,0,1
541,부산 온도 부탁할게,0,1,0,0,0,0,0
3594,부산 커피 전문점 있잖아 추천해주세요,0,0,0,0,0,1,0
610,부산 가까운 곳 추천해주세요,0,0,1,0,0,0,0
94,부산 저기 활동 추천해줘,0,0,0,0,0,0,1
748,부산 놀만한 것 부탁할게,0,0,0,0,0,0,1
2088,부산 근데 유명한 숙소 알려줄 수 있나요?,0,0,0,1,0,0,0
19,부산 날씨 추천해주세요,0,1,0,0,0,0,0
796,부산 음료 맛있는 카페 부탁드려요,0,0,0,0,0,1,0
2872,음 부산 주차하기 편한 곳 알려줄 수 있나요?,0,0,1,0,0,0,0
3698,부산 아 커피 전문점 부탁드려요,0,0,0,0,0,1,0
2988,흠 부산은 주차하기 편한 곳 좋아?,0,0,1,0,0,0,0
17,부산 날씨 부탁해,0,1,0,0,0,0,0
2018,부산 아 웨이팅 없는 곳 추천해주세요,0,0,1,0,0,0,0
1785,근데 부산 데이트하기 좋은 곳 부탁할게,0,0,1,0,0,0,0
2294,근데 부산 깨끗한 숙소 알려줘,0,0,0,1,0,0,0
2802,혹시 부산 데이트하기 좋은 곳 추천해주세요,0,0,1,0,0,0,0
3324,혹시 부산 신기한 체험 추천해줘,0,0,0,0,0,0,1
3117,부산은 예쁜 곳 있잖아 좋아?,0,0,1,0,0,0,0
2679,부산 예쁜 곳 아 알려주세요,0,0,1,0,0,0,0
2298,근데 부산 주차공간이 넓은 숙소 알려줘,0,0,0,1,0,0,0
2448,부산 어 가까운 곳 알려주세요,0,0,1,0,0,0,0
3363,부산 놀만한 것 저기 추천해주세요,0,0,0,0,0,0,1
2500,부산 예쁜 곳 알려줄 수 아 있나요?,0,0,1,0,0,0,0
630,부산 깨끗한 숙소 알려주세요,0,0,0,1,0,0,0
2241,혹시 부산 깨끗한 숙소,0,0,0,1,0,0,0
958,부산 친절한 숙소 아 알려줘,0,0,0,1,0,0,0
3599,부산 분위기 있는 카페 있잖아 추천해주세요,0,0,0,0,0,1,0
98,부산 액티비티 어 알려줘,0,0,0,0,0,0,1
1637,혹시 부산 친구랑 놀기 좋은 곳,1,0,0,0,0,0,0
2422,근데 부산 조용한 곳,0,0,1,0,0,0,0
2245,혹시 부산 주차공간이 넓은 숙소,0,0,0,1,0,0,0
481,부산 친절한 곳 알려줘,0,0,1,0,0,0,0
605,부산 부모님과 가기 좋은 곳 부탁할게,0,0,1,0,0,0,0
525,부산 온도 알려주세요,0,1,0,0,0,0,0
3188,부산 재미있는 거 저기 알려주세요,0,0,0,0,0,0,1
6,부산 맛집 추천해줘,0,0,1,0,0,0,0
2279,어 부산 분위기 있는 숙소 알려줄 수 있나요?,0,0,0,1,0,0,0
1270,부산 더위 혹시 부탁할게,0,1,0,0,0,0,0
781,부산 전망 좋은 카페 알려주세요,0,0,0,0,0,1,0
1875,부산 흠 데이트하기 좋은 곳,0,0,1,0,0,0,0
2765,저기 부산 맛있는 곳 부탁해,0,0,1,0,0,0,0
2824,어 부산 조용한 곳 추천해 주실 수 있나요?,0,0,1,0,0,0,0
899,부산 흠 주차하기 편한 곳 어디야?,0,0,1,0,0,0,0
709,부산 신기한 체험 알려주세요,0,0,0,0,0,0,1
1399,부산 혹시 감성적인 곳 알려주세요,0,0,1,0,0,0,0
2489,부산 가까운 곳 알려줄 음 수 있나요?,0,0,1,0,0,0,0
2101,부산 분위기 있는 숙소 알려줄 수 아 있나요?,0,0,0,1,0,0,0
2185,부산 분위기 있는 숙소 음 부탁할게,0,0,0,1,0,0,0
678,부산 뷰가 좋은 숙소 추천해주세요,0,0,0,1,0,0,0
1236,근데 부산 밖에 부탁드려요,0,1,0,0,0,0,0
2611,흠 부산 예쁜 곳 추천해주세요,0,0,1,0,0,0,0
1333,부산 온도 음 부탁드려요,0,1,0,0,0,0,0
3741,부산 음료 맛있는 카페 있잖아 추천해줘,0,0,0,0,0,1,0
416,있잖아 부산 액티비티 추천해줘,0,0,0,0,0,0,1
1881,근데 부산 가까운 곳 알려주세요,0,0,1,0,0,0,0
351,부산은 어디가 근데 좋아?,1,0,0,0,0,0,0
2434,음 부산 맛있는 곳 알려주세요,0,0,1,0,0,0,0
3409,혹시 부산 가까운 카페,0,0,0,0,0,1,0
1961,있잖아 부산 데이트하기 좋은 곳 부탁할게,0,0,1,0,0,0,0
3118,부산은 주차하기 편한 곳 있잖아 좋아?,0,0,1,0,0,0,0
3464,부산 디저트 많은 곳 알려줄 저기 수 있나요?,0,0,0,0,0,1,0
93,저기 부산 활동 추천해줘,0,0,0,0,0,0,1
321,아 부산 맛집 추천해줘,0,0,1,0,0,0,0
495,부산은 조용한 곳 좋아?,0,0,1,0,0,0,0
739,부산 체험할 것 부탁해,0,0,0,0,0,0,1
3455,부산 어 가까운 카페 알려줄 수 있나요?,0,0,0,0,0,1,0
1301,부산 저기 온도 알려줄 수 있나요?,0,1,0,0,0,0,0
2913,부산 혹시 맛있는 곳 부탁드려요,0,0,1,0,0,0,0
3258,부산 흠 체험할 것 부탁드려요,0,0,0,0,0,0,1
2987,흠 부산은 예쁜 곳 좋아?,0,0,1,0,0,0,0
3584,있잖아 부산 메뉴가 다양한 카페 추천해주세요,0,0,0,0,0,1,0
3194,음 부산 신기한 체험 알려줄 수 있나요?,0,0,0,0,0,0,1
201,아 부산 관광지 추천해 주실 수 있나요?,1,0,0,0,0,0,0
1050,근데 부산 분위기 있는 곳 어디야?,0,0,1,0,0,0,0
1377,흠 부산 조용한 곳,0,0,1,0,0,0,0
1036,부산 저기 맛있는 곳 추천해줘,0,0,1,0,0,0,0
2815,부산 데이트하기 좋은 곳 어 추천해주세요,0,0,1,0,0,0,0
